BiogeographicRealm.realm,ConservationActionsDocumentation.narrative,HabitatDocumentation.narrative,MapStatus.status,PopulationDocumentation.narrative,PopulationTrend.value,RangeDocumentation.narrative,RedListAssessmentDate.value,RedListCriteria.critVersion,RedListCriteria.dataDeficientReason,RedListCriteria.isManual,RedListCriteria.manualCategory,RedListCriteria.manualCriteria,RedListCriteria.possiblyExtinct,RedListCriteria.possiblyExtinctCandidate,RedListCriteria.yearLastSeen,RedListRationale.value,RedListReasonsForChange.catCritChanges,RedListReasonsForChange.changeReasons,RedListReasonsForChange.otherReason,RedListReasonsForChange.timeframe,RedListReasonsForChange.type,System.value,ThreatsDocumentation.value,UseTradeDocumentation.value,internal_taxon_id
Afrotropical,No specific conservation measures are known to be in place or are recommended at present.,"Various habitats, lakes, rivers, stream in savannah, bush and forest.",Incomplete,A fairly common species that is not in decline.,Stable,"In southern Africa, this species has been recorded in all countries except for Swaziland and Lesotho. Globally, the species is widespread in Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution and is relatively common. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no threats known to be affecting the species at present.,,59894
Afrotropical,No information available.,"Swampy or reedy verges of pools, lakes or slow streams",Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species occurs in all countries. It is common in the tropical north, but not in the arid southwest or the Cape. Globally, it is recorded from South Africa to Ethiopia and to Cameroon.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a wide distribution and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. It is assessed as Least Concern within the region. Its current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Unknown.,,59819
Afrotropical,No specific conservation measures are known to be in place or are recommended at present.,"Various habitats, especially open stagnant water, tolerant to saline and polluted water (e.g., near hotsprings).",Incomplete,No information is available on population size or trends. However this is a very widespread and adaptable species and population size is expected to be high.,Stable,"In southern Africa, this species is widespread across the whole region. Globally, this is a very widespread species in warm regions of the Old World, but is absent from densely forested areas.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern within the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No current threats.,,59897
Afrotropical,No specific conservation measures are known to be in place or are recommended at present.,"Rivers and streams in savannah, bush and woodland.",Done,Locally very high population densities.,Unknown,"In southern Africa, this species is common along perennial river systems in the tropical north. It does not occur in the arid southwest or at the Cape. Globally, it is widespread in tropical sub-Saharan Africa, except in rain forest areas.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),This species is unlikely to be seriously threatened across its whole range.,,59821
Afrotropical,The species occurs within protected areas across its range.,"Recorded from swamps, grassy pools, and quiet streams.",Incomplete,No information is available on population size or trends.,Unknown,"Within the southern Africa region, this species has been recorded in all countries except Angola (so far). In South Africa, the species is very rare (Samways 2006). Globally, the species occurs from Kenya to South Africa and West Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside of the southern Africa region, this species has a wide range and is unlikely to be declining fast enough to qualify for a threatened or Near Threatened category. It is assessed as Least Concern within the region. The current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"Drainage and destruction of swampy habitats are the main plausible threats to the species. However, this species is unlikely to be threatened across its whole range",,59899
Afrotropical|Palearctic,No specific conservation measures are known to be in place or are recommended at present.,"Lakes, pools and rivers. The species is usually found in swarms above thin vegetated shorelines.",Incomplete,Locally very high population densities.,Unknown,"In southern Africa, this species is widespread in the region, particularly along rivers. Globally, it is widespread in Africa (except in forest), southern Europe, the Middle East, southern Asia, and Indian Ocean Islands.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No threats are known at present.,,59822
Afrotropical,No specific conservation measures are known to be in place or are recommended at present.,Rock pools in open habitats.,Incomplete,It is probably common but likely often overseen due to camouflage colours.,Unknown,"This species is widespread in the southern Africa region. Globally, it has been recorded from South Africa to Kenya and Uganda.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No serious threats are known at present.,,59824
Afrotropical,No current conservation measures are known to be in place or are recommended at present.,Most types of freshwater habitats.,Incomplete,"No information is available on population size or trends. However, this is a very widespread and adaptable species.",Unknown,"In southern Africa, this species is widespread in all countries, but so far not in the Orange system. Globally, it is widespread in Africa and Arabia.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No current threats.,,59828
Afrotropical,No information at present.,"Pools (including rainpools) and streams in open and arid savanna and bush. Pools with grassy margins, and marshes (Samways 2006 in press).",Incomplete,No information is available on population size and trends. Considered Regionally Extinct in South Africa.,Unknown,"Within the southern Africa region, this species is widespread in the tropical north, southwards to northern Natal. It does not occur in the arid areas and southern parts of South Africa (where it has not been seen since 1951 despite ongoing intensive searches in recent years), Botswana and Namibia.<br/><br/>Globally, the species is recorded from South Africa, north to Ethiopia and Gambia.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a wide range and is unlikely to be declining fast enough to qualify for a threatened or Near Threatened category. It is assessed as Least Concern within the region. The current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"None known at present. Although the species is Regionally Extinct in South Africa, this is attributed to natural (particularly vulnerability to drought) rather than anthropogenic reasons (Samways 2006 in press).",,59833
Afrotropical,No information available.,Swampy habitats in savannah and bush.,Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species is widespread in the humid, tropical north of the region, south to Natal. It does not occur in the arid southwest or in the Cape. Globally, it is widespread in tropical sub-Saharan Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"Current threats in the region are unknown, although drainage and destruction of swampy habitats are inferred threats.",,59835
Afrotropical,"No specific conservation actions are known to be in place at present. In South Africa, searches for further localities are needed (Samways 2006).","Streams in forest and bush. In South Africa the species was recorded from clear, rocky, montane streams (Pinhey 1984b).",Incomplete,No information is available on population size or trends.,Unknown,"Within the southern Africa region, this species has been recorded from Mozambique, South Africa, northwest Zambia, and Zimbabwe. It may occur in eastern Angola in the upper Zambezi River catchment. In South Africa, it is known from only one specimen caught in northern KwaZulu-Natal prior to 1952 (Pinhey 1984a). Globally, the species occurs from west Tanzania to Angola and northern South Africa; records from Nigeria are doubtful.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a relatively wide distribution and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern within the region. Its current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"No information on current threats is available across most of its range, however it is unlikely to be seriously threatened across the whole range. In South Africa, stream disturbance and shading of habitat from invasive alien trees are the main threats (Samways 2006).",,59845
Afrotropical,No information available.,"Lakes, pools, rivers and streams in savannah and thornbush.",Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species is known from Angola, Mozambique, Namibia, South Africa, Zambia and Zimbabwe. Globally, its range extends from South Africa to DRC and Kenya.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"No information is available on threats within the region, but it is thought that pollution is degrading the habitat.",,59856
Afrotropical,No information available.,"Pools, streams in bush or woodland.",Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species is widespread in the tropical north. There is only one record in Namibia and South Africa respectively. Globally, it is widespread in tropical sub-Saharan Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"No information is available on threats in the region. However, it is unlikely to be seriously threatened across its whole range.",,59858
Afrotropical|Palearctic,No specific conservation measures are known to be in place or are recommended at present.,It uses a wide variety of habitats except dense forest. The species prefers stagnant water.,Incomplete,The species has large populations all across its range.,Stable,"This species is widespread all over southern Africa. It is probably the most widespread species in the region. Globally, it is widespread in Africa, southern Europe, the Middle East, and southern Asia.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No known threats.,,59859
Afrotropical|Indomalayan|Palearctic,No information available.,"Small, swift running waters, often with waterfalls. Often found sitting on rocks near the water.",Incomplete,"No information is available on population size or trends, however the species is widespread throughout the region.",Unknown,"In southern Africa, this species is widespread all over the region. It is less common in the arid southwest. Globally, it is widespread all over Africa, the Middle East, and southern Asia.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside southern Africa, this species has a very wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. In Namibia it may be threatened at the national level, but for the region it is assessed as Least Concern. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),In the arid parts it is threatened by water extraction from springsbrooks. Elsewhere in its range there are no serious threats known.,,59860
Afrotropical|Palearctic,No specific conservation measures are known to be in place or are recommended at present.,"Almost all kinds of well-vegetated freshwater habitats, including seasonal.",Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species is widespread in the region. It does not occur at the Cape. Globally, it is widespread in Africa and the Middle East.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No serious threats are currently known to be affecting the species.,,59864
Afrotropical,No information available.,"Forest and woodland, in drier habitats than other African <em>Gynacantha</em> species. Along swampy rivers. A crepuscular species.",Incomplete,Population size and trends are not known.,Unknown,"In southern Africa, this species occurs in Namibia, South Africa, Zambia and Zimbabwe. It is inferred to also occur in Botswana. Globally, it is known from South Africa to Sudan and West Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Within the southern Africa region, this species has a wide distribution and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern within the region. Its current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Forest destruction.,,59876
Afrotropical,"Occurs in some protected areas. Protection of coastal forest habitat would be of some benefit to the species. More research is needed to gather data on range, population status, and threats.",Mainly coastal forests (Tarboton and Tarboton 2002).,Incomplete,Current population size and trends are unknown.,Unknown,"In southern Africa, this species is known from Mozambique and South Africa (as <em>Gynacantha zuluensis</em>) (Pinhey 1981, Tarbotaon and Tarboton 2002). It may have a much wider range than currently known because it is difficult to record because of its habits. Globally, it occurs in coastal forest areas of eastern and southern Africa (Kenya to South Africa, Malawi).",09/06/2006,3.1,,true,LC,,false,false,,"There is almost no information about the occurrence of the species in Mozambique, but from its general distribution it is expected to be widespread in coastal areas. In South Africa it has limited occurrence but it is not threatened by any loss of coastal forest. It is globally listed as Least Concern. Regionally, it is also listed as Least Concern at present.",,,,,,Terrestrial|Freshwater (=Inland waters),Destruction of coastal forest and coastal thicket.,,59879
Afrotropical,"No information is available on conservation measures in place throughout most of the species' range.  In South Africa, no specific measures are in place and none are envisaged. However, it is important to continue to monitor overall conservation of coastal swamp forest (Samways 2006).",Forest and thick bush. Streams in swamp forest (Samways 2006). This is a crepuscular species.,Incomplete,Current population size and trends are unknown.,Unknown,"Within the southern Africa region, this species is recorded from Botswana, Mozambique, South Africa, and Zambia. It is inferred to also occur in Namibia (East Caprivi). It is found only in the tropical parts of these countries. In South Africa, it is known only from swamp forest in coastal KwaZulu-Natal (Samways 2006 in press). Globally, the species occurs from eastern Kenya to Uganda, Natal (South Africa) and northern Botswana.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a wide distribution and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. It is assessed as Least Concern within the region and also globally.",,,,,,Terrestrial|Freshwater (=Inland waters),Forest destruction. Loss of habitat through tree removal and the construction of infrastructures for ecotourism (Samways 2006).,,59881
Afrotropical,No information available.,"Pools and swamps in forest, bush and bushland.",Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species occurs in the humid north. It also ranges south into South Africa. Globally, it is widespread in tropical Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a wide distribution and it is unlikely to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Unknown. Drainage and destruction of swampy habitats are inferred threats.,,59964
Afrotropical,Occurs within protected areas in parts of its range.,Seasonal pools.,Incomplete,No information is available on population size or threats.,Unknown,"Within the southern Africa region, this species is known from Mozambique, South Africa (from a limited area in northern KwaZulu-Natal (Samways 2006)), Zambia and Zimbabwe. Globally, it occurs in West Africa, east to Kenya and south to South Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside of the southern Africa region, this species has a wide range and is unlikely to be declining fast enough to qualify for a threatened or Near Threatened category. It is assessed as Least Concern within the region. The current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"Drainage and destruction of swampy habitats are the main plausible threats. However, this species is unlikely to be threatened across its whole range.",,59900
Afrotropical|Palearctic,No specific conservation measures are known to be in place or are recommended at present.,"Uses a wide variety of habitats, including lakes and large rivers.",Incomplete,"No information is available on population size or trends. However, the species is widespread throughout the region.",Unknown,"This species is widespread and common all over the southern Africa region. Globally, it is widespread in Africa, south Europe, and the Middle East.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution and it is unlikely to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no threats currently known to be affecting the species.,,59965
Afrotropical|Palearctic,No specific conservation measures are known to be in place or are recommended at present.,"Open pools and streams, often in seasonal habitats.",Incomplete,"No information is available on population size or trends. However, this is a widespread species.",Unknown,"In southern Africa, this species is widespread. It has been recorded from all countries in the region. Globally, it is widespread in Africa and Arabia.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution and it is unlikely to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Unlikely to be seriously threatened across its whole range.,,59902
Afrotropical|Palearctic,No information available.,Temporary swamps and pools.,Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species is widespread, but not in the arid southwest or at the Cape. Globally, it is widespread in Africa, and in south-west Arabia.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a wide distribution and it is unlikely to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No threats are known to be seriously affecting the species across its whole range.,,59967
Afrotropical,No specific conservation measures are known to be in place or are recommended at present.,"Swampy habitats, well-vegetated perennial streams.",Incomplete,Locally common all across the southern Africa region.,Unknown,"In southern Africa, this species is widespread and locally common all over the region. Globally, it is widespread in sub-Saharan Africa, except in rain forest areas.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution, and it is locally common. There are no known threats at present and it is assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no threats known to be seriously affecting the population at present.,,59968
Afrotropical,No specific conservation measures are known to be in place or are recommended at present.,"Slow streams, pools and swamps. The species favours streams more than other <em>Lestes</em> species.",Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species occurs in all countries, except for Namibia. Globally, it has been recorded from Nigeria to Kenya and South Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a very wide distribution and it is unlikely to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"Drainage and destruction of swampy habitats are inferred threats. However, this species is unlikely to be seriously threatened across its whole range.",,59904
Afrotropical,No information available.,Swamps and lake shores.,Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species occurs in all countries, except for Angola, Lesotho and Swaziland. Globally, it has been recorded from Nigeria to Kenya and South Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"Drainage and destruction of swampy habitats are inferred threats. However, this species is unlikely to be seriously threatened across its whole range.",,59905
Afrotropical,No information available.,Swamps and slow streams.,Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species occurs in Mozambique, South Africa, Zambia and Zimbabwe. Globally, it has been recorded from Nigeria to Kenya and South Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"Drainage and destruction of swampy habitats are inferred threats. However, it is unlikely that this species is seriously threatened across its whole range.",,59906
Afrotropical,No information available.,"Rivers or large streams, woodland. Larvae burrow in sandy patches of the riverground",Done,"Locally common with large populations, as typical for most <em>Paragomphus</em> species.",Unknown,"In southern Africa, this species is known from the large tropical rivers: Zambezi, Okavango and Limpopo Rivers. Globally, it is recorded from Namibia and Botswana, to Tanzania and Kenya.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is locally common. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No information is available on threats within the region.,,59981
Afrotropical,No information available.,Pools and swamps in forest or woodland.,Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species occurs in all countries, except for Namibia. Globally, it has been recorded from Nigeria to Ethiopia and South Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"Drainage and destruction of swampy habitats are inferred threats. However, this species is unlikely to be seriously threatened across its whole range.",,59907
Afrotropical,"In South Africa, further searches for this species are needed, especially in the Waterberg and in KwaZulu-Natal, where it has not been recorded since 1960 (Samways 2006 in press). Monitoring of the Sabie River population is also required (Samways 2006 in press). No information is available on conservation measures in place or planned elsewhere in its range.","Streams and rivers with gallery forest in bush, woodland and forest. The adults usually perch and mate in the shade of trees. Only the female comes to the river for oviposition.",Incomplete,Few records in South Africa. No information is available from elsewhere in its range.,Unknown,"Within the southern Africa region, this species is widespread at rivers, except for in the arid southwest (Kalahari and Namibia) and the Cape. In South Africa, the species is known from less than ten, widespread, locations; it has been recorded from the southern Kruger National Park, coastal, northern KwaZula-Natal, Gauteng, and the Limpopo Province (Samways 2006). Globally, the species occurs from South Africa to Kenya.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a widespread distribution and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. It is assessed as Least Concern within the region. Its current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"Destruction of gallery forest and pollution. In South Africa, natural catastrophes appear synergistic with urbanisation in northern KwaZulu-Natal, and invasive alien trees may also be a threat alongside water extraction for agricultural purposes (Samways 2006).",,59908
Afrotropical,No information available.,"Streams and rivers with gallery forest in savannah, bush- and woodland.",Incomplete,Population size and trends are unknown.,Unknown,"In southern Africa, this species occurs in most countries, except Lesotho. Globally, it is widespread in sub-Saharan Africa except in rain forest regions.",09/06/2006,3.1,,true,LC,,false,false,,"Within the southern Africa region, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern within the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Destruction of gallery forest and pollution.,,59983
Afrotropical,No information available.,"Savannah streams and rivers with gallery forest. Larvae bury in muddy sediments. Adults are rarely recorded, but exuviae are conspicuous and allow easy recording of the species.",Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species is recorded as <em>P. brunneus</em>. It is known from rivers in all countries except for Lesotho and Swaziland. There are only a few records from South Africa. Zambezi, Okavango, Limpopo and Kunene River basins. Globally, it occurs along large rivers from Kenya to DRC, Angola, Namibia and South Africa.",09/06/2006,3.1,,true,LC,,false,false,,Within southern Africa this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern within the region. Its global status is also Least Concern.,,,,,,Terrestrial|Freshwater (=Inland waters),No information is available on threats in the region.,,59986
Afrotropical,No information available.,"Rivers, streams and large lakes in savannah, bush or forest.",Incomplete,"No information is available on population size or trends. However, this is a widespread species.",Unknown,"In southern Africa, this species is widespread in large perennial rivers in the region. It is not found in the arid southwest or at the Cape. Globally, it is widespread in sub-Saharan Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Current threats are unknown.,,59912
Afrotropical,"No information is available from much of its range. In South Africa, no specific measures are in place or are planned at present. However, conservation of catchments in general, removal of alien trees, and cessation of trout introductions are all beneficial to the species (Samways 2006).","Bush and forest, often in montane areas. Montane streams and rivers in hot, bushy savanna (Samways 2006).",Incomplete,Current population size and trends are unknown.,Unknown,This species occurs in river systems in the eastern part of the southern Africa region (Zambezi and Limpopo catchments). It has recently been rediscovered in South Africa. Globally it has a wide distribution from South Africa to Kenya and DRC.,09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a wide distribution and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern within the region. Its current global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"No information is available from much of its range. In South Africa, threats include invasive alien vegetation, mine effluent and possibly agricultural run-off and alien fish (Samways 2006).",,59995
Afrotropical,No information available.,"Streams, rivers in forest, bush, savannah, and woodland.",Incomplete,"Current population size and trends are unknown. However, this is a widespread species.",Unknown,"In southern Africa, this species is widespread, except for the arid southwest. Globally, it is widespread in continental sub-Saharan Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),"Current threats in the region are unknown. However, it is unlikely to be seriously threatened across its whole range",,59921
Afrotropical,No specific conservation measures are known to be in place or are recommended at present.,Streams and rivers in savannah and even desert. Also found in large impoundments.,Incomplete,The species seems to have stable populations. It is common and widespread.,Stable,"In southern Africa, this species is widespread in the region, even occurring in the arid southwest (lower Orange River). Globally, it is widespread in sub-Saharan Africa, except in forest.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region.",,,,,,Terrestrial|Freshwater (=Inland waters),There are no major threats known.,,59997
Afrotropical,No information available.,Forest pools and swamps.,Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species occurs in Mozambique, South Africa, Zambia and Zimbabwe. It does not occur in the arid southwest. Globally, it has been recorded from South Africa to Kenya and Uganda.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Forest destruction is an inferred threat.,,59926
Afrotropical,No specific conservation measures are in place or are recommended at present.,Grassy streams or rivers in wooded or bush country.,Incomplete,No information is available on population size or trends.,Unknown,"In southern Africa, this species occurs in almost all countries except for Botswana. There is one old and unproven record from southern Namibia, otherwise there are no records from the arid southwest of the region. Globally, it has been recorded from South Africa to Angola, Zambia, south DRC, and Malawi.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside southern Africa, this species has a wide distribution and no threats are known to be affecting the population. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),The species is not threatened at present.,,59937
Afrotropical,No information available.,Large rivers with swift flow.,Incomplete,"No information is available on population size or trends. However, this is a widespread species.",Unknown,"This species is widespread along large rivers in the southern Africa region. Globally, it is widespread in sub-Saharan Africa, except in West Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),No information available.,,59941
Afrotropical,No information is available from much of its range.,"Open rivers, but also streams and lakes.",Incomplete,Current population size and trends are unknown.,Unknown,"Within the southern Africa region, this species is widespread along perennial tropical rivers, occasional vicariant in arid Namibia. It does not occur in the Cape or indeed in most of South Africa (known only from three specimens from the Kruger National Park and one recent record from the Limpopo Province (Samways 2006). Globally, the species is widespread in Africa.",09/06/2006,3.1,,true,LC,,false,false,,"Both within and outside the southern Africa region, this species has a wide distribution and is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. It is therefore assessed as Least Concern within the southern Africa region. It is also assessed as Least Concern at global level.",,,,,,Terrestrial|Freshwater (=Inland waters),No information available from much of its range.,,59942
Afrotropical,No information available.,Swamps and pools in bush and savannah.,Incomplete,No information is available on population size or trends,Unknown,"In southern Africa, this species is widespread except for in the Cape and the arid southwest. Globally, it is widespread in continental Africa except in dense forest.",09/06/2006,3.1,,true,LC,,false,false,,"Within southern Africa, this species has a wide distribution and it is unlikely to be declining fast enough to qualify for listing in a threatened or Near Threatened category. Assessed as Least Concern in the region. Its global status is also Least Concern.",,,,,,Terrestrial|Freshwater (=Inland waters),Unknown. Drainage and destruction of swampy habitats are inferred threats.,,59948
